index,y
2023-01-01_1J7,30.443323135375977
2023-01-01_WDP,34.14119338989258
2023-01-01_SWS,158.87693786621094
2023-01-01_S3E,326.37615966796875
2023-01-01_RDK,427.58575439453125
2023-01-01_I9U,554.7335205078125
2023-01-01_OM7,710.5372924804688
2023-01-01_09U,105.06864166259766
2023-01-01_0S9,460.7929382324219
2023-01-01_KO0,2449.0009765625
2023-01-01_4WI,5980.07275390625
2023-01-01_23N,447.7161560058594
2023-01-01_WVV,428.3904113769531
2023-01-01_TFW,432.5104675292969
2023-01-01_L6F,700.4268798828125
2023-01-01_X3T,544.45703125
2023-01-01_I8D,750.965087890625
2023-01-01_EOE,47.01140213012695
2023-01-01_MBC,534.6236572265625
2023-01-01_VS0,225.401611328125
2023-01-01_EVR,75.43437194824219
2023-01-01_BZL,8.228818893432617
2023-01-01_DF2,32.7213249206543
2023-01-01_APM,16.98294448852539
2023-01-01_ZII,4810.2373046875
2023-01-01_12Q,152.75210571289062
2023-01-01_W67,2932.138427734375
2023-01-01_ICH,534.90625
2023-01-01_KY2,219.01402282714844
2023-01-01_CS1,272.40911865234375
2023-01-01_4V8,326.8217468261719
2023-01-01_214,3316.390380859375
2023-01-01_2YA,7091.2255859375
2023-01-01_L15,396.50830078125
2023-01-01_PRZ,448.3019104003906
2023-01-01_2UV,2309.509765625
2023-01-01_OF0,1568.5113525390625
2023-01-01_PCE,305.32342529296875
2023-01-01_UAJ,728.0486450195312
2023-01-01_K75,2894.67236328125
2023-01-01_9RF,710.181884765625
2023-01-01_2EW,3213.856689453125
2023-01-01_6E0,1818.476318359375
2023-01-01_033,1534.9356689453125
2023-01-01_KHT,2688.27392578125
2023-01-01_P8U,2489.004150390625
2023-01-01_CW1,1204.10595703125
2023-01-01_AK3,1021.6943359375
2023-01-01_IJR,1474.868896484375
2023-01-01_CM6,4067.145263671875
2023-01-01_NZP,3266.94091796875
2023-01-01_Q62,4272.615234375
2023-01-01_5SM,497.246337890625
2023-01-01_19G,718.396728515625
2023-01-01_VZD,55.349830627441406
2023-01-01_1AA,92.58911895751953
2023-01-01_IAM,1308.3408203125
2023-01-01_DRI,28.135026931762695
2023-01-01_KAX,14.838712692260742
2023-01-01_BC6,1114.3792724609375
2023-01-01_6VM,69.44921875
2023-01-01_UCE,58.287689208984375
2023-01-01_0CM,15.839812278747559
